Id,edad,genero,año,dispositivos_disponibles,tipo_conexion,calidad_internet,uso_plataforma_educativa,uso_db_academica,uso_software_analisis,uso_herramientas_colaboracion,uso_sm_educativa,uso_tiempo_tic,comp_busqueda,comp_data,comp_analisis,comp_presentacion,comp_programacion
48T,19,Masculino,1°,3,Cable,4,2,1,3,4,4,50,2,2,2,2,1
49T,18,Masculino,1°,2,Cable,2,2,4,2,2,1,80,1,2,2,2,3
4R,22,Femenino,5°,2,4G/5G,3,4,2,1,4,5,220,3,5,3,4,1
50T,22,Femenino,5°,2,Fibra óptica,4,4,4,3,4,5,400,5,5,4,5,1
51J,19,Masculino,2°,2,Cable,4,4,4,4,5,5,180,4,3,2,5,4
52J,21,Femenino,2°,2,Fibra óptica,5,5,4,5,5,5,80,5,4,5,5,4
53J,21,Femenino,3°,3,Cable,4,5,5,5,5,5,70,5,4,5,5,4
54J,22,Masculino,3°,3,Fibra óptica,5,4,4,5,5,5,170,5,4,4,5,5
55J,22,Masculino,3°,2,Fibra óptica,4,4,5,5,5,5,210,5,4,4,5,3
56J,21,Femenino,2°,2,Fibra óptica,4,4,4,4,5,5,130,5,5,3,4,4
57J,23,Femenino,4°,2,Cable,5,4,4,4,4,3,200,5,4,4,4,4
58J,20,Masculino,2°,2,Cable,3,5,3,3,4,5,210,3,3,3,4,3
59J,20,Masculino,2°,2,4G/5G,4,4,3,3,4,4,140,5,3,2,4,3
5R,21,Femenino,5°,1,Fibra óptica,4,3,3,4,5,4,70,4,3,3,4,2
60J,20,Femenino,2°,3,Fibra óptica,4,4,4,3,4,4,170,5,4,4,5,3
61J,21,Femenino,2°,2,Cable,4,4,4,4,4,4,150,4,3,3,3,3
62J,22,Masculino,3°,3,Cable,4,3,4,4,4,3,110,4,4,4,5,4
63P,23,Masculino,1°,3,Fibra óptica,5,1,3,3,5,3,400,5,5,5,5,5
64P,17,Masculino,1°,2,4G/5G,3,1,2,2,2,3,210,2,2,1,2,1
6R,20,Masculino,4°,2,Fibra óptica,3,3,3,4,4,3,30,4,3,5,3,5
7R,21,Masculino,5°,1,4G/5G,1,3,2,5,2,4,210,2,4,2,4,2
8R,22,Femenino,5°,2,Ninguna,4,2,4,4,5,3,160,4,4,4,4,3
9R,22,Femenino,5°,1,4G/5G,1,3,3,3,3,3,130,3,3,3,4,4
65P,23,Masculino,1°,4,Fibra óptica,4,3,2,2,5,4,170,3,2,1,2,1
66P,18,Femenino,1°,1,4G/5G,3,2,2,3,5,4,140,2,2,2,2,2
67P,19,Masculino,2°,3,4G/5G,2,3,1,1,3,2,130,4,3,5,3,5
68P,20,Femenino,2°,4,Fibra óptica,3,2,3,2,2,3,130,2,4,2,4,2
69P,21,Masculino,2°,2,4G/5G,4,3,4,2,3,4,200,4,4,4,4,3
70P,22,Femenino,3°,3,4G/5G,2,5,4,1,4,1,200,3,3,3,4,4
71P,23,Masculino,2°,2,Fibra óptica,1,3,3,4,2,4,200,3,2,1,2,1
72P,24,Femenino,3°,4,4G/5G,2,3,3,3,2,1,260,2,2,2,2,2
